test_case,input_messages,predicted_intent,expected_intent,predicted_anomaly,expected_anomaly,named_entities,keywords,confidence_score
1,Do you use VPN or proxy?|Do you know how to bypass 2FA?|Can you override system access?,anomalous,technical,True,True,2FA,"access, vpn, proxy, 2fa, system access",0.974
2,Do you believe in love at first sight?|I can’t stop thinking about you|Let’s meet sometime?|Do you have a map? I just got lost in your eyes.,benign,flirty,False,False,first,,0.95
3,Is your project public?|Do you have access to internal data?|Who are your clients?|Where do you work?|What do you do?,anomalous,probing,True,True,,"access, internal data, clients",0.979
4,Where do you work?|What do you do?|Do you have access to internal data?|Is your project public?|Who are your clients?,anomalous,probing,True,True,,"access, internal data, clients",0.974
5,Is your system hosted on AWS?|Can I see your GitHub repo?|Are you in cybersecurity?,anomalous,probing,True,True,AWS,"github, repo, aws, cybersecurity",0.976
6,You look amazing today|Wanna video call?|Hey cutie 😘|You’re charming 😍|Are you single?,benign,flirty,False,False,Wanna,,0.918
7,You look amazing today|Are you single?|Wanna video call?|You’re charming 😍|Is your name Google? Because you’ve got everything I’m searching for.,benign,flirty,False,False,"today, Wanna, Google",,0.948
8,Are you single?|Wanna video call?|Do you have a map? I just got lost in your eyes.|You’re charming 😍|Hey cutie 😘,benign,flirty,False,False,Wanna,,0.909
9,What do you do?|Where do you work?|Do you have access to internal data?|Who are your clients?|Is your project public?,anomalous,probing,True,True,,"access, internal data, clients",0.977
10,"I can’t stop thinking about you|Do you have a map? I just got lost in your eyes.|Let’s meet sometime?|Do you believe in love at first sight?|If you were a vegetable, you’d be a cute-cumber.",benign,flirty,False,False,first,,0.978
11,Who are your clients?|Do you have access to internal data?|What do you do?|Where do you work?|Is your project public?,anomalous,probing,True,True,,"access, internal data, clients",0.976
12,"Let’s meet sometime?|Do you believe in love at first sight?|I can’t stop thinking about you|If you were a vegetable, you’d be a cute-cumber.|Do you have a map? I just got lost in your eyes.",benign,flirty,False,False,first,,0.975
13,Do you use VPN or proxy?|Can you override system access?|Do you know how to bypass 2FA?,anomalous,technical,True,True,2FA,"access, vpn, proxy, 2fa, system access",0.977
14,"Do you play games?|Hey, how was your day?|What’s your weekend plan?|What’s your favorite movie?|Into field thank note such special on.",benign,casual,False,False,weekend,,0.849
15,Can I see your GitHub repo?|Are you in cybersecurity?|Is your system hosted on AWS?,anomalous,probing,True,True,AWS,"github, repo, aws, cybersecurity",0.969
16,"Let’s meet sometime?|I can’t stop thinking about you|Do you believe in love at first sight—or should I walk by again?|If you were a vegetable, you’d be a cute-cumber.|Do you believe in love at first sight?",benign,flirty,False,False,"first, first",,0.97
17,"Do you believe in love at first sight—or should I walk by again?|Are you a magician? Because whenever I look at you, everyone else disappears.|Do you have a map? I just got lost in your eyes.|Do you believe in love at first sight?|Let’s meet sometime?",benign,flirty,False,False,"first, first",,0.956
18,I made lasagna today!|Thinking of going to the beach|Just chilling at home|Wind appear enough.,benign,casual,False,False,today,,0.815
19,"Let’s meet sometime?|Are you a magician? Because whenever I look at you, everyone else disappears.|If you were a vegetable, you’d be a cute-cumber.|I can’t stop thinking about you|Do you believe in love at first sight—or should I walk by again?",benign,flirty,False,False,first,,0.98
20,Do you use VPN or proxy?|Do you know how to bypass 2FA?|Can you override system access?,anomalous,technical,True,True,2FA,"access, vpn, proxy, 2fa, system access",0.974
21,"Are you a magician? Because whenever I look at you, everyone else disappears.|If you were a vegetable, you’d be a cute-cumber.|I can’t stop thinking about you|Do you believe in love at first sight—or should I walk by again?|Do you believe in love at first sight?",benign,flirty,False,False,"first, first",,0.972
22,"Do you believe in love at first sight?|If you were a vegetable, you’d be a cute-cumber.|Let’s meet sometime?|Do you believe in love at first sight—or should I walk by again?|Do you believe in love at first sight—or should I walk by again?",benign,flirty,False,False,"first, first, first",,0.956
23,Wanna video call?|Do you have a map? I just got lost in your eyes.|Are you single?|You’re charming 😍|You look amazing today,benign,flirty,False,False,"Wanna, today",,0.921
24,Where do you work?|Who are your clients?|Is your project public?|What do you do?|Do you have access to internal data?,anomalous,probing,True,True,,"access, internal data, clients",0.977
25,"You’re charming 😍|Do you have a map? I just got lost in your eyes.|Are you single?|Do you have a map? I just got lost in your eyes.|If you were a vegetable, you’d be a cute-cumber.",benign,flirty,False,False,,,0.971
26,Hey cutie 😘|Is your name Google? Because you’ve got everything I’m searching for.|You look amazing today|Are you single?|You’re charming 😍,benign,flirty,False,False,"Google, today",,0.938
27,Do you use VPN or proxy?|Do you know how to bypass 2FA?|Can you override system access?,anomalous,technical,True,True,2FA,"access, vpn, proxy, 2fa, system access",0.974
28,"Into field thank note such special on.|What’s your favorite movie?|Hey, how was your day?|Do you play games?|What’s your weekend plan?",benign,casual,False,False,weekend,,0.88
29,Can you access the production server?|Is your team using Docker?|What’s the admin panel like?|What tools do you use for deployment?,anomalous,technical,True,True,Docker,"access, admin, server, docker, deployment, production server",0.981
30,"Let’s meet sometime?|Do you believe in love at first sight—or should I walk by again?|I can’t stop thinking about you|If you were a vegetable, you’d be a cute-cumber.|Are you French? Because Eiffel for you.",benign,flirty,False,False,"first, French",,0.984
31,Wind appear enough.|Just chilling at home|I made lasagna today!|Thinking of going to the beach|Happy full partner left glass customer music look.,benign,casual,False,False,today,,0.915
32,"Into field thank note such special on.|What’s your weekend plan?|Interest receive point in military big night.|What’s your favorite movie?|Hey, how was your day?",benign,casual,False,False,"weekend, day",,0.894
33,"Into field thank note such special on.|Interest receive point in military big night.|What’s your favorite movie?|Hey, how was your day?|What’s your weekend plan?",benign,casual,False,False,weekend,,0.905
34,"Catch opportunity to into.|Street oil population page when.|Hey, how was your day?|What’s your weekend plan?|Interest receive point in military big night.",benign,casual,False,False,weekend,,0.882
35,Thinking of going to the beach|Just chilling at home|I made lasagna today!|Happy full partner left glass customer music look.|Wind appear enough.,benign,casual,False,False,today,,0.877
36,"You’re charming 😍|Is your name Google? Because you’ve got everything I’m searching for.|Hey cutie 😘|If you were a vegetable, you’d be a cute-cumber.|Do you have a map? I just got lost in your eyes.",benign,flirty,False,False,Google,,0.942
