messages,intent,anomaly
Do you use VPN or proxy?|Do you know how to bypass 2FA?|Can you override system access?,technical,True
Do you believe in love at first sight?|I can’t stop thinking about you|Let’s meet sometime?|Do you have a map? I just got lost in your eyes.,flirty,False
Is your project public?|Do you have access to internal data?|Who are your clients?|Where do you work?|What do you do?,probing,True
Where do you work?|What do you do?|Do you have access to internal data?|Is your project public?|Who are your clients?,probing,True
Is your system hosted on AWS?|Can I see your GitHub repo?|Are you in cybersecurity?,probing,True
You look amazing today|Wanna video call?|Hey cutie 😘|You’re charming 😍|Are you single?,flirty,False
You look amazing today|Are you single?|Wanna video call?|You’re charming 😍|Is your name Google? Because you’ve got everything I’m searching for.,flirty,False
Are you single?|Wanna video call?|Do you have a map? I just got lost in your eyes.|You’re charming 😍|Hey cutie 😘,flirty,False
What do you do?|Where do you work?|Do you have access to internal data?|Who are your clients?|Is your project public?,probing,True
"I can’t stop thinking about you|Do you have a map? I just got lost in your eyes.|Let’s meet sometime?|Do you believe in love at first sight?|If you were a vegetable, you’d be a cute-cumber.",flirty,False
Who are your clients?|Do you have access to internal data?|What do you do?|Where do you work?|Is your project public?,probing,True
"Let’s meet sometime?|Do you believe in love at first sight?|I can’t stop thinking about you|If you were a vegetable, you’d be a cute-cumber.|Do you have a map? I just got lost in your eyes.",flirty,False
Do you use VPN or proxy?|Can you override system access?|Do you know how to bypass 2FA?,technical,True
"Do you play games?|Hey, how was your day?|What’s your weekend plan?|What’s your favorite movie?|Into field thank note such special on.",casual,False
Can I see your GitHub repo?|Are you in cybersecurity?|Is your system hosted on AWS?,probing,True
"Let’s meet sometime?|I can’t stop thinking about you|Do you believe in love at first sight—or should I walk by again?|If you were a vegetable, you’d be a cute-cumber.|Do you believe in love at first sight?",flirty,False
"Do you believe in love at first sight—or should I walk by again?|Are you a magician? Because whenever I look at you, everyone else disappears.|Do you have a map? I just got lost in your eyes.|Do you believe in love at first sight?|Let’s meet sometime?",flirty,False
I made lasagna today!|Thinking of going to the beach|Just chilling at home|Wind appear enough.,casual,False
"Let’s meet sometime?|Are you a magician? Because whenever I look at you, everyone else disappears.|If you were a vegetable, you’d be a cute-cumber.|I can’t stop thinking about you|Do you believe in love at first sight—or should I walk by again?",flirty,False
Do you use VPN or proxy?|Do you know how to bypass 2FA?|Can you override system access?,technical,True
"Are you a magician? Because whenever I look at you, everyone else disappears.|If you were a vegetable, you’d be a cute-cumber.|I can’t stop thinking about you|Do you believe in love at first sight—or should I walk by again?|Do you believe in love at first sight?",flirty,False
"Do you believe in love at first sight?|If you were a vegetable, you’d be a cute-cumber.|Let’s meet sometime?|Do you believe in love at first sight—or should I walk by again?|Do you believe in love at first sight—or should I walk by again?",flirty,False
Wanna video call?|Do you have a map? I just got lost in your eyes.|Are you single?|You’re charming 😍|You look amazing today,flirty,False
Where do you work?|Who are your clients?|Is your project public?|What do you do?|Do you have access to internal data?,probing,True
"You’re charming 😍|Do you have a map? I just got lost in your eyes.|Are you single?|Do you have a map? I just got lost in your eyes.|If you were a vegetable, you’d be a cute-cumber.",flirty,False
Hey cutie 😘|Is your name Google? Because you’ve got everything I’m searching for.|You look amazing today|Are you single?|You’re charming 😍,flirty,False
Do you use VPN or proxy?|Do you know how to bypass 2FA?|Can you override system access?,technical,True
"Into field thank note such special on.|What’s your favorite movie?|Hey, how was your day?|Do you play games?|What’s your weekend plan?",casual,False
Can you access the production server?|Is your team using Docker?|What’s the admin panel like?|What tools do you use for deployment?,technical,True
"Let’s meet sometime?|Do you believe in love at first sight—or should I walk by again?|I can’t stop thinking about you|If you were a vegetable, you’d be a cute-cumber.|Are you French? Because Eiffel for you.",flirty,False
Wind appear enough.|Just chilling at home|I made lasagna today!|Thinking of going to the beach|Happy full partner left glass customer music look.,casual,False
"Into field thank note such special on.|What’s your weekend plan?|Interest receive point in military big night.|What’s your favorite movie?|Hey, how was your day?",casual,False
"Into field thank note such special on.|Interest receive point in military big night.|What’s your favorite movie?|Hey, how was your day?|What’s your weekend plan?",casual,False
"Catch opportunity to into.|Street oil population page when.|Hey, how was your day?|What’s your weekend plan?|Interest receive point in military big night.",casual,False
Thinking of going to the beach|Just chilling at home|I made lasagna today!|Happy full partner left glass customer music look.|Wind appear enough.,casual,False
"You’re charming 😍|Is your name Google? Because you’ve got everything I’m searching for.|Hey cutie 😘|If you were a vegetable, you’d be a cute-cumber.|Do you have a map? I just got lost in your eyes.",flirty,False
Do you know how to bypass 2FA?|Do you use VPN or proxy?|Can you override system access?,technical,True
Who are your clients?|Do you have access to internal data?|Is your project public?|What do you do?|Where do you work?,probing,True
Are you in cybersecurity?|Is your system hosted on AWS?|Can I see your GitHub repo?,probing,True
Do you have access to internal data?|Who are your clients?|Where do you work?|Is your project public?|What do you do?,probing,True
Do you have access to internal data?|Who are your clients?|Is your project public?|Where do you work?|What do you do?,probing,True
Can you access the production server?|What’s the admin panel like?|Is your team using Docker?|What tools do you use for deployment?,technical,True
Is your system hosted on AWS?|Are you in cybersecurity?|Can I see your GitHub repo?,probing,True
"If you were a vegetable, you’d be a cute-cumber.|You’re charming 😍|Hey cutie 😘|You look amazing today|Wanna video call?",flirty,False
Is your project public?|Who are your clients?|What do you do?|Do you have access to internal data?|Where do you work?,probing,True
"Do you have a map? I just got lost in your eyes.|If you were a vegetable, you’d be a cute-cumber.|You’re charming 😍|If you were a vegetable, you’d be a cute-cumber.|Are you French? Because Eiffel for you.",flirty,False
Can you override system access?|Do you know how to bypass 2FA?|Do you use VPN or proxy?,technical,True
"If you were a vegetable, you’d be a cute-cumber.|Do you believe in love at first sight?|I can’t stop thinking about you|Do you believe in love at first sight—or should I walk by again?|Are you French? Because Eiffel for you.",flirty,False
What’s your favorite movie?|Do you play games?|Into field thank note such special on.|Interest receive point in military big night.|Once red blood sense south yard.,casual,False
Thinking of going to the beach|Wind appear enough.|I made lasagna today!|Happy full partner left glass customer music look.|Important cause miss.,casual,False
Do you know how to bypass 2FA?|Do you use VPN or proxy?|Can you override system access?,technical,True
Thinking of going to the beach|Happy full partner left glass customer music look.|Just chilling at home|Important cause miss.|Case young economic because than.,casual,False
Is your team using Docker?|What’s the admin panel like?|Can you access the production server?|What tools do you use for deployment?,technical,True
What tools do you use for deployment?|Is your team using Docker?|What’s the admin panel like?|Can you access the production server?,technical,True
Is your team using Docker?|What’s the admin panel like?|Can you access the production server?|What tools do you use for deployment?,technical,True
"Arrive detail only food old art.|Hey, how was your day?|Catch opportunity to into.|Once red blood sense south yard.|Into field thank note such special on.",casual,False
Can I see your GitHub repo?|Is your system hosted on AWS?|Are you in cybersecurity?,probing,True
Where do you work?|Is your project public?|Do you have access to internal data?|What do you do?|Who are your clients?,probing,True
"Let’s meet sometime?|Do you have a map? I just got lost in your eyes.|I can’t stop thinking about you|Are you French? Because Eiffel for you.|If you were a vegetable, you’d be a cute-cumber.",flirty,False
Happy full partner left glass customer music look.|Just chilling at home|I made lasagna today!|Case young economic because than.|Kind physical edge from her federal attorney.,casual,False
Happy full partner left glass customer music look.|Kind physical edge from her federal attorney.|Political everybody why common thus decide.|Important cause miss.|Thinking of going to the beach,casual,False
Can I see your GitHub repo?|Are you in cybersecurity?|Is your system hosted on AWS?,probing,True
"Let’s meet sometime?|Are you French? Because Eiffel for you.|If you were a vegetable, you’d be a cute-cumber.|Are you a magician? Because whenever I look at you, everyone else disappears.|Do you have a map? I just got lost in your eyes.",flirty,False
What’s the admin panel like?|What tools do you use for deployment?|Is your team using Docker?|Can you access the production server?,technical,True
Do you have access to internal data?|What do you do?|Who are your clients?|Where do you work?|Is your project public?,probing,True
"Let’s meet sometime?|Do you believe in love at first sight?|If you were a vegetable, you’d be a cute-cumber.|Do you believe in love at first sight—or should I walk by again?|Do you have a map? I just got lost in your eyes.",flirty,False
Who are your clients?|What do you do?|Is your project public?|Do you have access to internal data?|Where do you work?,probing,True
Do you use VPN or proxy?|Do you know how to bypass 2FA?|Can you override system access?,technical,True
"Do you believe in love at first sight?|If you were a vegetable, you’d be a cute-cumber.|Do you believe in love at first sight—or should I walk by again?|Are you a magician? Because whenever I look at you, everyone else disappears.|Are you French? Because Eiffel for you.",flirty,False
Do you have a map? I just got lost in your eyes.|Is your name Google? Because you’ve got everything I’m searching for.|Is your name Google? Because you’ve got everything I’m searching for.|Hey cutie 😘|Are you French? Because Eiffel for you.,flirty,False
Is your project public?|Who are your clients?|What do you do?|Do you have access to internal data?|Where do you work?,probing,True
What tools do you use for deployment?|Is your team using Docker?|Can you access the production server?|What’s the admin panel like?,technical,True
"Are you French? Because Eiffel for you.|Is your name Google? Because you’ve got everything I’m searching for.|If you were a vegetable, you’d be a cute-cumber.|Are you single?|Do you have a map? I just got lost in your eyes.",flirty,False
"Are you single?|Wanna video call?|Is your name Google? Because you’ve got everything I’m searching for.|Is your name Google? Because you’ve got everything I’m searching for.|If you were a vegetable, you’d be a cute-cumber.",flirty,False
Are you in cybersecurity?|Can I see your GitHub repo?|Is your system hosted on AWS?,probing,True
Is your system hosted on AWS?|Are you in cybersecurity?|Can I see your GitHub repo?,probing,True
Catch opportunity to into.|Once red blood sense south yard.|Husband on then coach program sort.|Arrive detail only food old art.|What’s your favorite movie?,casual,False
Is your project public?|Who are your clients?|Do you have access to internal data?|What do you do?|Where do you work?,probing,True
Thinking of going to the beach|Case young economic because than.|I made lasagna today!|Political everybody why common thus decide.|Wind appear enough.,casual,False
Is your team using Docker?|What’s the admin panel like?|Can you access the production server?|What tools do you use for deployment?,technical,True
Can you access the production server?|What tools do you use for deployment?|What’s the admin panel like?|Is your team using Docker?,technical,True
"Is your name Google? Because you’ve got everything I’m searching for.|Do you have a map? I just got lost in your eyes.|If you were a vegetable, you’d be a cute-cumber.|Are you single?|Is your name Google? Because you’ve got everything I’m searching for.",flirty,False
Political everybody why common thus decide.|Happy full partner left glass customer music look.|War summer color some sell friend director measure.|Wind appear enough.|Real charge pretty professor.,casual,False
